NSFTV_ID,Na:K Shoot ,Na Shoot ,K Shoot Salt ,K Shoot Control ,Na:K Root ,Na Root ,K Root Salt 
NSFTV_346,157.3368364,0.156044726,1.031901121,1.001005676,548.2980126,0.349470625,0.643444936
NSFTV_347,348.2618364,0.303294726,0.857401121,1.063863731,544.9628551,0.383947325,0.702444373
NSFTV_348,88.51183642,0.089294726,1.003401121,1.056109895,634.7328519,0.473545328,0.762571178
NSFTV_349,111.5118364,0.102044726,0.900901121,0.85111815,540.5373619,0.359835681,0.663883848
NSFTV_35,145.6868364,0.101794726,0.749901121,0.801364802,594.7544917,0.317615697,0.567479012
NSFTV_352,260.7621447,0.235716101,0.91531665,1.169122313,562.4657849,0.358424465,0.63792125
NSFTV_353,95.31183642,0.094294726,0.984401121,1.013326748,441.9275358,0.376045744,0.84241765
NSFTV_354,127.5418276,0.152966101,0.81206665,NA,544.8812219,0.43997995,0.804551252
NSFTV_355,154.4371447,0.142716101,0.94131665,1.060080228,428.9283233,0.32525173,0.735017316
NSFTV_356,157.0121447,0.135966101,0.84831665,1.165489108,572.0405715,0.26582281,0.449457144
NSFTV_357,208.8121447,0.209716101,1.02206665,1.180880737,665.6932522,0.456512841,0.669389292
NSFTV_358,213.8130836,0.188800507,0.909085107,0.967371001,NA,0.367020833,0.496527326
NSFTV_359,97.66214469,0.087716101,0.92931665,1.097871414,475.8918297,0.373969573,0.782161275
NSFTV_36,163.2118364,0.141794726,0.884651121,0.984730079,452.9658657,0.264734981,0.605503083
NSFTV_360,138.2371447,0.129966101,1.00956665,1.253626448,457.0332516,0.341002969,0.739781152
NSFTV_363,187.5112057,0.177631694,0.957287173,1.063807106,461.7849828,0.328683707,0.714002648
NSFTV_364,205.4621447,0.191716101,0.93756665,0.958323289,491.1517518,0.282632118,0.57193486
NSFTV_365,230.7621447,0.213716101,0.93456665,0.951213686,477.9104437,0.375986908,0.80400113
NSFTV_366,222.7371447,0.194466101,0.86131665,0.940334658,446.2863593,0.321111527,0.733313823
NSFTV_367,199.5621447,0.184966101,0.93756665,1.047414215,476.138518,0.318006474,0.655129176
